image_path,label
FRUIT-16K\F_Banana\1.jpg,Fresh Banana
FRUIT-16K\F_Banana\10.jpg,Fresh Banana
FRUIT-16K\F_Banana\100.jpg,Fresh Banana
FRUIT-16K\F_Banana\1000.jpg,Fresh Banana
FRUIT-16K\F_Banana\101.jpg,Fresh Banana
FRUIT-16K\F_Banana\102.jpg,Fresh Banana
FRUIT-16K\F_Banana\103.jpg,Fresh Banana
FRUIT-16K\F_Banana\104.jpg,Fresh Banana
FRUIT-16K\F_Banana\105.jpg,Fresh Banana
FRUIT-16K\F_Banana\106.jpg,Fresh Banana
FRUIT-16K\F_Banana\107.jpg,Fresh Banana
FRUIT-16K\F_Banana\108.jpg,Fresh Banana
FRUIT-16K\F_Banana\109.jpg,Fresh Banana
FRUIT-16K\F_Banana\11.jpg,Fresh Banana
FRUIT-16K\F_Banana\110.jpg,Fresh Banana
FRUIT-16K\F_Banana\111.jpg,Fresh Banana
FRUIT-16K\F_Banana\112.jpg,Fresh Banana
FRUIT-16K\F_Banana\113.jpg,Fresh Banana
FRUIT-16K\F_Banana\114.jpg,Fresh Banana
FRUIT-16K\F_Banana\115.jpg,Fresh Banana
FRUIT-16K\F_Banana\116.jpg,Fresh Banana
FRUIT-16K\F_Banana\117.jpg,Fresh Banana
FRUIT-16K\F_Banana\118.jpg,Fresh Banana
FRUIT-16K\F_Banana\119.jpg,Fresh Banana
FRUIT-16K\F_Banana\12.jpg,Fresh Banana
FRUIT-16K\F_Banana\120.jpg,Fresh Banana
FRUIT-16K\F_Banana\121.jpg,Fresh Banana
FRUIT-16K\F_Banana\122.jpg,Fresh Banana
FRUIT-16K\F_Banana\123.jpg,Fresh Banana
FRUIT-16K\F_Banana\124.jpg,Fresh Banana
FRUIT-16K\F_Banana\125.jpg,Fresh Banana
FRUIT-16K\F_Banana\126.jpg,Fresh Banana
FRUIT-16K\F_Banana\127.jpg,Fresh Banana
FRUIT-16K\F_Banana\128.jpg,Fresh Banana
FRUIT-16K\F_Banana\129.jpg,Fresh Banana
FRUIT-16K\F_Banana\13.jpg,Fresh Banana
FRUIT-16K\F_Banana\130.jpg,Fresh Banana
FRUIT-16K\F_Banana\131.jpg,Fresh Banana
FRUIT-16K\F_Banana\132.jpg,Fresh Banana
FRUIT-16K\F_Banana\133.jpg,Fresh Banana
FRUIT-16K\F_Banana\134.jpg,Fresh Banana
FRUIT-16K\F_Banana\135.jpg,Fresh Banana
FRUIT-16K\F_Banana\136.jpg,Fresh Banana
FRUIT-16K\F_Banana\137.jpg,Fresh Banana
FRUIT-16K\F_Banana\138.jpg,Fresh Banana
FRUIT-16K\F_Banana\139.jpg,Fresh Banana
FRUIT-16K\F_Banana\14.jpg,Fresh Banana
FRUIT-16K\F_Banana\140.jpg,Fresh Banana
FRUIT-16K\F_Banana\141.jpg,Fresh Banana
FRUIT-16K\F_Banana\142.jpg,Fresh Banana
FRUIT-16K\F_Banana\143.jpg,Fresh Banana
FRUIT-16K\F_Banana\144.jpg,Fresh Banana
FRUIT-16K\F_Banana\145.jpg,Fresh Banana
FRUIT-16K\F_Banana\146.jpg,Fresh Banana
FRUIT-16K\F_Banana\147.jpg,Fresh Banana
FRUIT-16K\F_Banana\148.jpg,Fresh Banana
FRUIT-16K\F_Banana\149.jpg,Fresh Banana
