image_path,label,type
FRUIT-16K\F_Tomato\1.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\10.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\100.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\1000.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\101.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\102.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\103.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\104.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\105.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\106.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\107.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\108.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\109.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\11.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\110.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\111.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\112.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\113.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\114.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\115.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\116.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\117.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\118.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\119.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\12.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\120.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\121.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\122.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\123.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\124.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\125.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\126.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\127.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\128.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\129.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\13.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\130.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\131.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\132.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\133.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\134.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\135.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\136.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\137.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\138.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\139.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\14.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\140.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\141.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\142.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\143.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\144.jpg,fresh,vegetable
FRUIT-16K\F_Tomato\145.jpg,fresh,vegetable
